Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
FPSO Cidade de Paraty,83628.6793007784,5,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,106343.52586065776
Petrobras 58,70879.08895356001,14,Baleia Anã / Jubarte,2023-05-01,NA,84492.6792543255
FPSO Cidade de Campos dos Goytacazes,70544.69911789677,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-05-01,NA,75468.27635752773
Petrobras 71,51276.69400305161,1,Itapu / Itapu_Eco,2023-05-01,NA,56027.194338015484
FPSO Frade,47346.581296477416,11,Frade,2023-05-01,NA,50491.907713747416
FPSO Cidade de Caraguatatuba,46762.377656764525,3,Lapa,2023-05-01,NA,57559.66941434678
FPSO Pioneiro de Libra,45149.63445997839,1,Anc_Mero / Mero,2023-05-01,NA,64046.741247155165
Peregrino A,44577.51131340743,17,Peregrino,2023-05-01,NA,44918.52391320646
Petrobras 57,39155.747035064196,16,Jubarte,2023-05-01,NA,41576.10711117484
Peregrino C,35066.622656365485,4,Peregrino / Pitangola,2023-05-01,NA,36069.87514826775
Petrobras 53,33356.322274611295,8,Marlim Leste,2023-05-01,NA,36627.241183196136
Petrobras 55,30521.137055174844,9,Roncador,2023-05-01,NA,33758.255539305166
Polo Arara,5936.53267649516,35,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-05-01,NA,51482.88493129483
FPSO Carioca (Mv-30),167188.17373501323,4,Sépia / Sépia Leste / Sépia_Eco,2023-03-01,NA,203161.19635993
Petrobras 75 (P-75),159961.98044508905,4,Búzios / Búzios_Eco / Tambuatá,2023-03-01,NA,209151.08752362616
Petrobras 70,154219.61846413292,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-03-01,NA,190318.25975409002
FPSO Cidade de Maricá,145732.38380497094,6,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,180074.53275432804
Petrobras 74 (P-74),144746.54434770808,5,Búzios / Búzios_Eco / Tambuatá,2023-03-01,NA,183508.56347956904
Petrobras 76,142277.62389494097,5,Búzios / Búzios_Eco / Tambuatá,2023-03-01,NA,180829.17198430226
FPSO Cidade de Itaguaí,130665.98678451095,8,Tupi,2023-03-01,NA,176833.21815533936
Petrobras 68,124484.90812128969,9,Berbigão / Sul De Berbigão / Sururu,2023-03-01,NA,143896.10055788775
Petrobras 67 (P-67),115488.36502484999,7,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,145859.44425678096
Petrobras 69,110434.40651662611,7,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,146570.4163793816
FPSO Cidade de Saquarema,106433.44579600611,8,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,140277.70454510354
Petrobras 66 (P-66),99441.48482758486,8,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,129131.77369164873
FPSO Cidade de Ilha Bela,98837.1365496187,8,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-03-01,NA,130195.2429984171
FPSO Cidade de Paraty,98220.2382746287,5,Anc_Tupi / Sul De Tupi / Tupi,2023-03-01,NA,125551.9096636158
FPSO Cidade de São Paulo,80893.35962658,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-03-01,NA,104958.4248876713
FPSO Guanabara,79023.74829948354,4,Anc_Mero / Mero,2023-03-01,NA,110920.55465610129
FPSO Cidade de Campos dos Goytacazes,73593.61857384033,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-03-01,NA,78774.76759091324
FPSO Cidade de Mangaratiba,71725.46790294354,7,Tupi,2023-03-01,NA,97872.12894307579
Petrobras 58,63425.339671102265,13,Baleia Anã / Jubarte,2023-03-01,NA,73955.18789589613
Petrobras 52,56028.78545704839,16,Roncador,2023-03-01,NA,62073.834602296774
Peregrino A,51484.011618873235,16,Peregrino,2023-03-01,NA,51834.732641855815
Petrobras 71,49760.40788317485,1,Itapu / Itapu_Eco,2023-03-01,NA,53828.86252593388
FPSO Pioneiro de Libra,48094.53811056935,1,Anc_Mero / Mero,2023-03-01,NA,68489.16790570162
FPSO Cidade de Caraguatatuba,47539.968606325805,4,Lapa,2023-03-01,NA,58366.51609629193
Petrobras 77,46135.78495849064,5,Búzios / Búzios_Eco / Tambuatá,2023-03-01,NA,57870.80582244
Petrobras 40,44529.07632715678,15,Marlim / Marlim Sul,2023-03-01,NA,50249.867709063554
Petrobras 53,41673.91710592548,7,Marlim Leste,2023-03-01,NA,45723.432319186126
Petrobras 57,38236.67512833387,16,Jubarte,2023-03-01,NA,40535.25068584193
FPSO Frade,37316.6128808742,11,Frade,2023-03-01,NA,39714.25193139678
Polo Arara,6139.4042082351625,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-03-01,NA,56129.342272695154
FPSO Guanabara,179515.7276582143,5,Anc_Mero / Mero,2023-11-01,NA,NA
FPSO Carioca (Mv-30),165297.009379756,4,Sépia / Sépia Leste / Sépia_Eco,2023-11-01,NA,NA
Petrobras 77,155441.49812366333,5,Búzios / Búzios_Eco / Tambuatá,2023-11-01,NA,NA
Petrobras 68,153980.63628777832,10,Berbigão / Sul De Berbigão / Sururu,2023-11-01,NA,NA
Petrobras 70,152104.30063302268,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-11-01,NA,NA
Petrobras 76,146960.2619210337,5,Búzios / Búzios_Eco / Tambuatá,2023-11-01,NA,NA
Petrobras 71,146865.00253892335,4,Itapu / Itapu_Eco,2023-11-01,NA,NA
Petrobras 75 (P-75),146576.810782835,4,Búzios / Búzios_Eco / Tambuatá,2023-11-01,NA,NA
FPSO Almirante Barroso,141550.78693723466,3,Búzios / Búzios_Eco / Tambuatá,2023-11-01,NA,NA
FPSO Cidade de Maricá,128917.45300813629,8,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
Petrobras 74 (P-74),127145.58837189637,4,Búzios / Búzios_Eco / Tambuatá,2023-11-01,NA,NA
FPSO Cidade de Mangaratiba,121019.556008902,8,Tupi,2023-11-01,NA,NA
FPSO Cidade de Itaguaí,120369.52469211468,8,Tupi,2023-11-01,NA,NA
FPSO Cidade de Saquarema,112255.5760739456,7,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
FPSO Cidade de Paraty,108322.71701313867,6,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
Petrobras 67 (P-67),107727.48902054167,6,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
Petrobras 66 (P-66),103489.77544865465,7,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
Petrobras 69,95927.24461915,6,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
FPSO Cidade de São Paulo,84345.67280052001,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-11-01,NA,NA
FPSO Cidade de Campos dos Goytacazes,68723.30605589865,12,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-11-01,NA,NA
FPSO Cidade de Ilha Bela,61565.34293404532,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-11-01,NA,NA
Petrobras 53,53268.69504344767,10,Marlim Leste,2023-11-01,NA,NA
FPSO Frade,52294.02839211133,11,Frade,2023-11-01,NA,NA
FPSO Cidade de Caraguatatuba,49399.93921023667,3,Lapa,2023-11-01,NA,NA
Petrobras 52,48885.415560089335,15,Roncador,2023-11-01,NA,NA
FPSO Pioneiro de Libra,48368.53931134167,1,Anc_Mero / Mero,2023-11-01,NA,NA
Peregrino C,47031.00681197468,5,Peregrino / Pitangola,2023-11-01,NA,NA
Petrobras 58,46788.20861465633,15,Baleia Anã / Jubarte,2023-11-01,NA,NA
FPSO Cidade de Angra dos Reis,44569.17748423834,5,Anc_Tupi / Sul De Tupi / Tupi,2023-11-01,NA,NA
Polo Arara,6636.2556700446685,37,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-11-01,NA,NA
FPSO Guanabara,179752.0197031216,5,Anc_Mero / Mero,2023-10-01,NA,NA
FPSO Carioca (Mv-30),163687.82426761775,4,Sépia / Sépia Leste / Sépia_Eco,2023-10-01,NA,NA
Petrobras 70,161040.67900504422,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-10-01,NA,NA
Petrobras 68,158746.7207767674,10,Berbigão / Sul De Berbigão / Sururu,2023-10-01,NA,NA
Petrobras 77,151316.33996453352,5,Búzios / Búzios_Eco / Tambuatá,2023-10-01,NA,NA
Petrobras 76,146157.43617935677,5,Búzios / Búzios_Eco / Tambuatá,2023-10-01,NA,NA
Petrobras 71,136422.18979671775,3,Itapu / Itapu_Eco,2023-10-01,NA,NA
FPSO Cidade de Maricá,132719.41902624004,6,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
Petrobras 75 (P-75),130782.00780818258,4,Búzios / Búzios_Eco / Tambuatá,2023-10-01,NA,NA
FPSO Cidade de Mangaratiba,114255.09418124772,8,Tupi,2023-10-01,NA,NA
FPSO Cidade de Saquarema,112636.20117345838,7,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
FPSO Cidade de Itaguaí,110193.67479242226,8,Tupi,2023-10-01,NA,NA
FPSO Almirante Barroso,108487.43438157451,3,Búzios / Búzios_Eco / Tambuatá,2023-10-01,NA,NA
Petrobras 67 (P-67),108423.87625731871,6,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
FPSO Cidade de Paraty,107463.0199253758,6,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
Petrobras 74 (P-74),107094.8907372842,5,Búzios / Búzios_Eco / Tambuatá,2023-10-01,NA,NA
Petrobras 69,99346.27110408452,6,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
FPSO Cidade de Ilha Bela,92487.79755591064,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-10-01,NA,NA
Petrobras 58,80481.0631897713,15,Baleia Anã / Jubarte,2023-10-01,NA,NA
FPSO Cidade de São Paulo,80071.75603588935,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-10-01,NA,NA
FPSO Cidade de Campos dos Goytacazes,65557.66540545548,12,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-10-01,NA,NA
Petrobras 66 (P-66),56246.59102669935,8,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
FPSO Frade,55027.58770404517,11,Frade,2023-10-01,NA,NA
FPSO Cidade de Caraguatatuba,48499.367528422576,3,Lapa,2023-10-01,NA,NA
Petrobras 53,48447.58514586936,8,Marlim Leste,2023-10-01,NA,NA
Petrobras 52,47763.42425143064,15,Roncador,2023-10-01,NA,NA
FPSO Pioneiro de Libra,47037.52539521452,1,Anc_Mero / Mero,2023-10-01,NA,NA
Petrobras 40,44378.34245078646,13,Marlim / Marlim Sul,2023-10-01,NA,NA
FPSO Cidade de Angra dos Reis,41874.04404863742,5,Anc_Tupi / Sul De Tupi / Tupi,2023-10-01,NA,NA
Polo Arara,6298.160432914839,36,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-10-01,NA,NA
FPSO Guanabara,179339.83689545034,4,Anc_Mero / Mero,2023-09-01,NA,252095.65922941832
Petrobras 75 (P-75),158688.88425595537,4,Búzios / Búzios_Eco / Tambuatá,2023-09-01,NA,207806.8640731724
Petrobras 70,155256.25252648635,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-09-01,NA,191056.8826254067
FPSO Carioca (Mv-30),154859.51772888834,4,Sépia / Sépia Leste / Sépia_Eco,2023-09-01,NA,187798.33417696803
Petrobras 77,148971.96749559033,5,Búzios / Búzios_Eco / Tambuatá,2023-09-01,NA,185093.07725159265
Petrobras 74 (P-74),148660.8082886267,5,Búzios / Búzios_Eco / Tambuatá,2023-09-01,NA,189071.30219600568
Petrobras 68,145099.9543794407,10,Berbigão / Sul De Berbigão / Sururu,2023-09-01,NA,169245.4097224317
Petrobras 76,143121.188539854,5,Búzios / Búzios_Eco / Tambuatá,2023-09-01,NA,179193.154542704
FPSO Cidade de Maricá,142509.730950514,6,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,175711.3144847
Petrobras 71,141192.98983742268,3,Itapu / Itapu_Eco,2023-09-01,NA,154167.10923654668
FPSO Cidade de Itaguaí,120678.931977333,8,Tupi,2023-09-01,NA,164988.91834211035
FPSO Cidade de Mangaratiba,119442.36749163237,8,Tupi,2023-09-01,NA,163054.84390883736
Petrobras 67 (P-67),114664.01372051598,7,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,145206.420316028
FPSO Cidade de Saquarema,113094.42140678334,7,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,149775.679836711
FPSO Cidade de Paraty,108796.77768657499,6,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,137796.27418101567
Petrobras 66 (P-66),104092.943907056,7,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,140017.12348584435
Petrobras 69,101880.10635254502,6,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,133645.9487133447
FPSO Almirante Barroso,99326.17533697866,2,Búzios / Búzios_Eco / Tambuatá,2023-09-01,NA,123170.88718870566
FPSO Cidade de Ilha Bela,94331.043683533,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-09-01,NA,122479.27037378267
FPSO Cidade de São Paulo,85959.01388770767,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-09-01,NA,108717.84266767834
Petrobras 58,83335.17708516,15,Baleia Anã / Jubarte,2023-09-01,NA,98612.99998862034
FPSO Cidade de Campos dos Goytacazes,61335.19102871301,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-09-01,NA,65712.36771908868
FPSO Frade,55970.203451723326,11,Frade,2023-09-01,NA,59417.14848248866
Petrobras 53,54567.34435671533,9,Marlim Leste,2023-09-01,NA,59668.376283169
Petrobras 52,53742.486513016,15,Roncador,2023-09-01,NA,60028.68762969834
FPSO Cidade de Caraguatatuba,50207.78353720668,3,Lapa,2023-09-01,NA,61757.08632427301
FPSO Pioneiro de Libra,49128.567244729675,1,Anc_Mero / Mero,2023-09-01,NA,69383.65706395301
Peregrino A,47944.01026267433,13,Peregrino,2023-09-01,NA,48312.398563885
Petrobras 40,40605.176106499,13,Marlim / Marlim Sul,2023-09-01,NA,45213.01962798567
FPSO Cidade de Angra dos Reis,34092.22293644967,4,Anc_Tupi / Sul De Tupi / Tupi,2023-09-01,NA,44229.43339708833
FPSO Guanabara,180554.95067399615,4,Anc_Mero / Mero,2023-08-01,NA,253551.18318084907
Petrobras 77,166025.1438373432,5,Búzios / Búzios_Eco / Tambuatá,2023-08-01,NA,207038.02260777255
FPSO Carioca (Mv-30),164968.62132137423,4,Sépia / Sépia Leste / Sépia_Eco,2023-08-01,NA,200149.17272654938
Petrobras 68,155026.60960881098,10,Berbigão / Sul De Berbigão / Sururu,2023-08-01,NA,180035.01671865743
Petrobras 76,146096.21583545,5,Búzios / Búzios_Eco / Tambuatá,2023-08-01,NA,184471.90388066776
FPSO Cidade de Maricá,143686.8004345336,6,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,177188.1588292436
Petrobras 75 (P-75),141788.4008499642,4,Búzios / Búzios_Eco / Tambuatá,2023-08-01,NA,185790.97300799453
Petrobras 71,131244.8179119984,3,Itapu / Itapu_Eco,2023-08-01,NA,143356.9224216113
Petrobras 74 (P-74),130288.62273505969,5,Búzios / Búzios_Eco / Tambuatá,2023-08-01,NA,164701.63450995067
FPSO Cidade de Saquarema,112951.1753801371,7,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,148451.36052381838
FPSO Cidade de Paraty,109238.44175351645,6,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,137858.69718393713
Petrobras 67 (P-67),106500.17885403226,6,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,134431.40852632484
Petrobras 69,101402.01130028936,6,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,133181.91829170357
Petrobras 66 (P-66),100108.6644524061,7,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,134164.10823888675
FPSO Cidade de Ilha Bela,95968.84684276968,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-08-01,NA,125955.30378740645
FPSO Cidade de São Paulo,89488.90400235358,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-08-01,NA,113508.79889148132
Petrobras 58,89310.23565949354,15,Baleia Anã / Jubarte,2023-08-01,NA,105755.55969718225
FPSO Almirante Barroso,81689.30505330968,2,Búzios / Búzios_Eco / Tambuatá,2023-08-01,NA,102349.75804501548
Petrobras 70,81313.18131381096,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-08-01,NA,101068.09096850806
FPSO Cidade de Mangaratiba,69522.59850018969,8,Tupi,2023-08-01,NA,93131.49285626582
FPSO Cidade de Campos dos Goytacazes,63017.96267730194,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-08-01,NA,67420.37011537775
Petrobras 52,54612.89282065549,15,Roncador,2023-08-01,NA,61122.07150954001
FPSO Frade,53465.49107186452,11,Frade,2023-08-01,NA,57083.04384431452
Petrobras 53,49660.409643235485,7,Marlim Leste,2023-08-01,NA,54038.17421442259
FPSO Cidade de Caraguatatuba,48917.69264666775,3,Lapa,2023-08-01,NA,60194.926936020325
FPSO Pioneiro de Libra,46114.180069831935,1,Anc_Mero / Mero,2023-08-01,NA,65447.95346700806
Peregrino A,45566.943063768704,14,Peregrino,2023-08-01,NA,45918.57306574483
Petrobras 40,41539.613633554836,13,Marlim / Marlim Sul,2023-08-01,NA,46117.14825146065
FPSO Cidade de Itaguaí,38650.844914037094,5,Tupi,2023-08-01,NA,52192.533556133225
FPSO Cidade de Angra dos Reis,34068.16482575709,4,Anc_Tupi / Sul De Tupi / Tupi,2023-08-01,NA,44168.47401266419
Petrobras 77,157535,5,Búzios / Búzios_Eco / Tambuatá,2024-04-01,NA,NA
Petrobras 70,149187,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2024-04-01,NA,NA
FPSO Almirante Barroso,146359,3,Búzios / Búzios_Eco / Tambuatá,2024-04-01,NA,NA
Petrobras 75 (P-75),139579,4,Búzios / Búzios_Eco / Tambuatá,2024-04-01,NA,NA
Petrobras 68,150720,10,Berbigão / Sul De Berbigão / Sururu,2024-04-01,NA,NA
Petrobras 76,138689,5,Búzios / Búzios_Eco / Tambuatá,2024-04-01,NA,NA
Petrobras 71,145223,4,Itapu / Itapu_Eco,2024-04-01,NA,NA
FPSO Carioca (Mv-30),125399,4,Sépia / Sépia Leste / Sépia_Eco,2024-04-01,NA,NA
FPSO Cidade de Maricá,115114,6,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
FPSO Cidade de Saquarema,107154,7,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
FPSO Cidade de Mangaratiba,99569,8,Tupi,2024-04-01,NA,NA
Petrobras 69,101659,7,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
Petrobras 67 (P-67),97006,7,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
FPSO Cidade de Itaguaí,88999,8,Tupi,2024-04-01,NA,NA
FPSO Guanabara,78617,5,Anc_Mero / Mero,2024-04-01,NA,NA
FPSO Cidade de Ilha Bela,81118,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2024-04-01,NA,NA
FPSO Cidade de São Paulo,79626,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2024-04-01,NA,NA
Petrobras 74 (P-74),82677,4,Búzios / Búzios_Eco / Tambuatá,2024-04-01,NA,NA
FPSO Cidade de Paraty,80613,6,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
Petrobras 58,69655,14,Jubarte,2024-04-01,NA,NA
FPSO Cidade de Campos dos Goytacazes,62748,12,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2024-04-01,NA,NA
Polo Arara,6289,35,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2024-04-01,NA,NA
FPSO Sepetiba,40928,1,Anc_Mero / Mero,2024-04-01,NA,NA
FPSO Pioneiro de Libra,40374,1,Anc_Mero / Mero,2024-04-01,NA,NA
FPSO Cidade de Angra dos Reis,42303,4,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
FPSO Cidade de Caraguatatuba,43074,3,Lapa,2024-04-01,NA,NA
FPSO Frade,47795,12,Frade,2024-04-01,NA,NA
Peregrino C,45162,6,Peregrino / Pitangola,2024-04-01,NA,NA
Petrobras 66 (P-66),36168,7,Anc_Tupi / Sul De Tupi / Tupi,2024-04-01,NA,NA
Petrobras 40,38324,13,Marlim / Marlim Sul,2024-04-01,NA,NA
FPSO Guanabara,179143.53739680874,5,Anc_Mero / Mero,2024-01-01,NA,NA
Petrobras 77,157894.4415798097,5,Búzios / Búzios_Eco / Tambuatá,2024-01-01,NA,NA
Petrobras 70,156760.89668824288,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2024-01-01,NA,NA
Petrobras 68,156324.86514615646,10,Berbigão / Sul De Berbigão / Sururu,2024-01-01,NA,NA
FPSO Carioca (Mv-30),154523.61411180228,4,Sépia / Sépia Leste / Sépia_Eco,2024-01-01,NA,NA
Petrobras 71,147920.03714284935,4,Itapu / Itapu_Eco,2024-01-01,NA,NA
Petrobras 76,145195.45559460067,5,Búzios / Búzios_Eco / Tambuatá,2024-01-01,NA,NA
FPSO Almirante Barroso,142230.81959265712,3,Búzios / Búzios_Eco / Tambuatá,2024-01-01,NA,NA
Petrobras 75 (P-75),131866.26615438357,4,Búzios / Búzios_Eco / Tambuatá,2024-01-01,NA,NA
Petrobras 74 (P-74),126413.68870554163,4,Búzios / Búzios_Eco / Tambuatá,2024-01-01,NA,NA
FPSO Cidade de Saquarema,111370.41688168648,7,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
FPSO Cidade de Itaguaí,110549.54027129353,8,Tupi,2024-01-01,NA,NA
FPSO Cidade de Mangaratiba,96920.44295121582,8,Tupi,2024-01-01,NA,NA
FPSO Cidade de Paraty,93803.14291282036,6,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
Petrobras 69,93300.31013928322,6,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
Petrobras 66 (P-66),91238.20343797583,7,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
Petrobras 67 (P-67),86879.35415153259,8,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
FPSO Cidade de Ilha Bela,77712.88351916196,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2024-01-01,NA,NA
FPSO Cidade de Maricá,76246.64785222033,5,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
Petrobras 58,70434.94051311711,13,Jubarte,2024-01-01,NA,NA
FPSO Cidade de Campos dos Goytacazes,67647.7363991258,12,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2024-01-01,NA,NA
FPSO Cidade de São Paulo,56908.96138163583,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2024-01-01,NA,NA
Petrobras 52,54143.744414433546,15,Roncador,2024-01-01,NA,NA
FPSO Frade,50015.06463802743,11,Frade,2024-01-01,NA,NA
FPSO Pioneiro de Libra,49690.27731326322,1,Anc_Mero / Mero,2024-01-01,NA,NA
Peregrino C,48349.18573505259,6,Peregrino / Pitangola,2024-01-01,NA,NA
Peregrino A,42755.47752943064,13,Peregrino,2024-01-01,NA,NA
FPSO Cidade de Angra dos Reis,37689.55701996936,4,Anc_Tupi / Sul De Tupi / Tupi,2024-01-01,NA,NA
Petrobras 53,37470.65540020161,9,Marlim Leste,2024-01-01,NA,NA
Polo Arara,5899.18439340645,38,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2024-01-01,NA,NA
FPSO Guanabara,179546,5,Anc_Mero / Mero,2024-05-01,NA,NA
Petrobras 77,162340,5,Búzios / Búzios_Eco / Tambuatá,2024-05-01,NA,NA
FPSO Carioca (Mv-30),160043,4,Sépia / Sépia Leste / Sépia_Eco,2024-05-01,NA,NA
Petrobras 71,148940,4,Itapu / Itapu_Eco,2024-05-01,NA,NA
FPSO Almirante Barroso,138690,3,Búzios / Búzios_Eco / Tambuatá,2024-05-01,NA,NA
Petrobras 75 (P-75),134910,4,Búzios / Búzios_Eco / Tambuatá,2024-05-01,NA,NA
Petrobras 76,133388,4,Búzios / Búzios_Eco / Tambuatá,2024-05-01,NA,NA
Petrobras 70,133261,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2024-05-01,NA,NA
Petrobras 68,128933,10,Berbigão / Sul De Berbigão / Sururu,2024-05-01,NA,NA
FPSO Cidade de Maricá,116449,5,Anc_Tupi / Sul De Tupi / Tupi,2024-05-01,NA,NA
Petrobras 67 (P-67),116304,8,Anc_Tupi / Sul De Tupi / Tupi,2024-05-01,NA,NA
FPSO Cidade de Saquarema,110795,7,Anc_Tupi / Sul De Tupi / Tupi,2024-05-01,NA,NA
Petrobras 69,104610,7,Anc_Tupi / Sul De Tupi / Tupi,2024-05-01,NA,NA
