Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
PETROBRAS 74 (P-74),86628.0537204548,3499.99183967742,108642.337393576,5,Búzios/Búzios,2021-08-01,NA
PLATAFORMA DE MANATI 1,229.059865814839,3099.76799516129,19726.0115994603,5,Mexilhão,2021-08-01,NA
PETROBRAS 69,61160.2515489872,2869.19954064516,79206.9715117326,7,Anc_Tupi/Sul De Tupi/Anc_Norte_Atapu,2021-08-01,NA
PETROBRAS 68,97841.0175381925,2536.03410741935,113792.19022738,6,Berbigão/Anc_Tupi,2021-08-01,NA
PETROBRAS 58,79894.7431304419,2528.97384580645,95801.5081155338,12,Baleia Anã/Roncador,2021-08-01,NA
FPSO CIDADE DE CARAGUATATUBA,55495.5536259871,2175.80349580645,69180.9442119454,4,Nordeste De Sapinhoá,2021-08-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,30.518787101,2123.6704983871,13388.0027245611,25,NA,2021-08-01,NA
FPSO CIDADE DE ANGRA DOS REIS,50840.2964467764,2084.39611,63950.7519434155,5,Anc_Tupi/Sul De Tupi/Lapa,2021-08-01,NA
PETROBRAS 62,23641.4946442032,1847.16486258064,35259.8106685116,12,Anc_Tupi,2021-08-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2105.24871099452,1810.32351935484,13491.8396862678,10,Leste Do Urucu/,2021-08-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1507.43148767645,1609.91261774194,11633.4759698759,8,Leste Do Urucu,2021-08-01,NA
PETROBRAS 53,60282.3993236903,1288.4853783871,68386.7275415233,11,Baleia Anã,2021-08-01,NA
FPSO CIDADE DE ANCHIETA,32236.2237794419,1164.29739322581,39559.4331663275,6,Anc_Tupi,2021-08-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1092.20501389323,1133.34601322581,8220.73610134104,4,Leste Do Urucu,2021-08-01,NA
FPSO CIDADE DE ITAGUAÍ,125144.101851647,6677.90876166667,167146.879159865,7,Tupi,2021-09-01,NA
POLO ARARA,6166.54314226133,6474.84004866667,46892.0568287654,29,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Leste Do Urucu,2021-09-01,NA
PETROBRAS 75 (P-75),166770.598549732,6472.36191533333,207480.525248415,4,Búzios/Búzios_Eco/Búzios,2021-09-01,NA
PETROBRAS 77,152010.871694646,6353.728171,191974.614681883,5,Búzios/Búzios_Eco/Manati,2021-09-01,NA
FPSO CIDADE DE MANGARATIBA,107186.436419437,6064.60076433333,145331.622952948,8,Anc_Tupi,2021-09-01,NA
FPSO CIDADE DE SAQUAREMA,127653.945150573,5741.73326366667,163768.356449717,7,Anc_Tupi/Sul De Tupi/Nordeste De Sapinhoá,2021-09-01,NA
PETROBRAS 76,136341.848022114,5495.97342433333,170910.47662622,4,Búzios/Búzios_Eco/Búzios,2021-09-01,NA
PETROBRAS 70,160989.981768309,5477.58528866666,195442.952492818,4,Anc_Norte_Atapu/Atapu/Búzios,2021-09-01,NA
PETROBRAS 67 (P-67),142110.025108747,5443.66589566667,176349.649295971,7,Anc_Tupi/Sul De Tupi/Berbigão,2021-09-01,NA
FPSO CIDADE DE ILHA BELA,113396.092368271,5395.10016033333,147330.247307737,9,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Tupi,2021-09-01,NA
FPSO CIDADE DE MARICÁ,137323.941033248,5260.05184366667,170408.667720061,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-09-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,34.9607368837367,5214.268652,32831.7198469199,23,Gavião Branco/Sépia,2021-09-01,NA
PETROBRAS 66 (P-66),117481.380972012,4946.02797533334,148590.957191543,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-09-01,NA
PETROBRAS 69,96305.9620086038,4840.836647,126753.904759271,6,Anc_Tupi/Sul De Tupi/Anc_Norte_Atapu,2021-09-01,NA
FPSO CIDADE DE SÃO PAULO,95753.6162737872,4751.052959,125636.836685835,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Marlim,2021-09-01,NA
PETROBRAS 74 (P-74),114726.89291754,4640.01192566667,143911.686327718,5,Búzios/Búzios_Eco/Búzios,2021-09-01,NA
FPSO CIDADE DE PARATY,103205.520941705,4614.25757366666,132228.324371129,7,Anc_Tupi/Sul De Tupi/Anc_Tupi,2021-09-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,17.7282613852867,2862.5215383333302,18022.4448584097,27,Gavião Azul/Gavião Real/Gavião Branco,2021-09-01,NA
PLATAFORMA DE MANATI 1,213.661071814,2769.18794033333,17631.327070802,6,Arara Azul,2021-09-01,NA
FPSO CIDADE DE CARAGUATATUBA,57858.4610220133,2349.92158,72639.0212751131,4,Nordeste De Sapinhoá,2021-09-01,NA
PETROBRAS 58,71939.5425331467,2311.16467966667,86476.3292469608,12,Baleia Anã/Roncador,2021-09-01,NA
PETROBRAS 68,86160.7839017952,2268.611633,100429.920037155,6,Berbigão/Anc_Tupi,2021-09-01,NA
FPSO CIDADE DE ANGRA DOS REIS,53109.6079420956,2137.40403966667,66553.4732448313,6,Anc_Tupi/Sul De Tupi/Lapa,2021-09-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1931.40210266433,1751.55436833333,12948.346284151,10,Leste Do Urucu/,2021-09-01,NA
PETROBRAS 62,21394.9375738367,1703.22776766667,32107.9166191841,12,Anc_Tupi,2021-09-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1451.808912352,1527.905087,11062.0416076155,8,Leste Do Urucu/Leste Do Urucu/,2021-09-01,NA
PETROBRAS 53,66422.4964931433,1434.98462866667,75448.2771603772,10,Baleia Anã,2021-09-01,NA
FPSO CARIOCA (MV-30),49697.3821782149,1211.93511766667,57320.2238006658,1,Sépia/Anc_Tupi,2021-09-01,NA
PETROBRAS 52,60556.01376878,1126.26199966667,67639.9877569034,14,Marlim Leste,2021-09-01,NA
PETROBRAS 40,45766.97849989,1106.10382033333,52724.1613700608,14,Marlim/Roncador,2021-09-01,NA
FPSO CIDADE DE ITAGUAÍ,131732.311665019,7197.06908935484,177000.508793934,7,Tupi,2021-10-01,NA
POLO ARARA,6571.45389479742,7044.76767451613,50881.7040616457,33,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-10-01,NA
PETROBRAS 77,160652.094508752,6530.15356387097,201725.519696323,5,Búzios/Búzios_Eco/Tambuatá,2021-10-01,NA
FPSO CIDADE DE SAQUAREMA,126260.300174281,5608.68098645161,161537.837929675,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
PETROBRAS 70,157829.414155938,5409.92472451613,191856.812787447,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-10-01,NA
PETROBRAS 75 (P-75),134360.394731148,5310.7308916129,167763.883000524,4,Búzios/Búzios_Eco/Tambuatá,2021-10-01,NA
FPSO CIDADE DE MARICÁ,136282.469298528,5284.64407709677,169521.876461092,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
PETROBRAS 67 (P-67),127092.67746487,5270.31684290322,160241.969046531,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
FPSO CIDADE DE ILHA BELA,106634.094441936,5265.29652225807,139751.8091606,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-10-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,30.2263636892452,5086.82721096774,32025.4030235063,27,Gavião Branco/Gavião Caboclo,2021-10-01,NA
PETROBRAS 69,94147.8518107695,4957.56823645161,125330.014080085,7,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
FPSO CIDADE DE SÃO PAULO,88031.2309012994,4646.24874064516,117255.252692697,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2021-10-01,NA
PETROBRAS 74 (P-74),117265.040087488,4645.58737870968,146484.90203797,5,Búzios/Búzios_Eco/Tambuatá,2021-10-01,NA
FPSO CIDADE DE PARATY,101848.155854544,4590.07800451613,130718.87438813,5,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
PETROBRAS 66 (P-66),111023.562162302,4458.06280935484,139063.930201211,8,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
FPSO CIDADE DE MANGARATIBA,78930.3346790258,4400.37550516129,106607.860535144,8,Tupi,2021-10-01,NA
PLATAFORMA DE MEXILHÃO,2832.53274569032,3816.1893216129,26835.6385026644,6,Mexilhão,2021-10-01,NA
PLATAFORMA DE MANATI 1,281.719778311613,3246.66278870968,20702.6118533656,6,Manati,2021-10-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,32.3806844833742,2875.25203354839,18117.1696776163,26,Gavião Azul/Gavião Real/Gavião Vermelho,2021-10-01,NA
PETROBRAS 62,22544.8520679064,2431.93680612903,37841.2725104649,12,Roncador,2021-10-01,NA
FPSO CIDADE DE CARAGUATATUBA,57752.8649864387,2426.20246290322,73013.217499632,4,Lapa,2021-10-01,NA
PETROBRAS 76,56968.0080788,2195.79817451613,70779.1613948533,4,Búzios/Búzios_Eco/Tambuatá,2021-10-01,NA
PETROBRAS 68,81056.7326326688,2139.48187645161,94513.6671339929,5,Berbigão/Sururu,2021-10-01,NA
PETROBRAS 58,65443.0504586645,2069.50949645161,78459.8719845408,13,Baleia Anã/Jubarte,2021-10-01,NA
FPSO CIDADE DE ANGRA DOS REIS,50301.2779823992,2050.63177709678,63199.3622403003,5,Anc_Tupi/Sul De Tupi/Tupi,2021-10-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1605.09559941452,1694.17478129032,12261.1330805222,8,Leste Do Urucu,2021-10-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1555.05691451097,1407.61799967742,10408.706685062,10,Leste Do Urucu,2021-10-01,NA
FPSO CARIOCA (MV-30),49648.5117108143,1323.12650129032,57970.7260098952,1,Sépia/Sépia Leste,2021-10-01,NA
PETROBRAS 53,57093.3459444032,1276.88261677419,65124.6949962157,9,Marlim Leste,2021-10-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1156.01310737226,1235.85384,8929.29894874266,4,Leste Do Urucu,2021-10-01,NA
FPSO CIDADE DE ITAGUAÍ,130480.377737765,7562.27267,178045.63600025701,7,Tupi,2021-12-01,NA
POLO ARARA,6306.28362108129,7374.6352467742,52691.3381425941,35,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-12-01,NA
FPSO CIDADE DE MANGARATIBA,109134.669830474,6248.45423870967,148436.259785653,8,Tupi,2021-12-01,NA
PETROBRAS 74 (P-74),149885.475839484,6155.27003483871,188600.954857312,5,Búzios/Búzios_Eco/Tambuatá,2021-12-01,NA
PETROBRAS 76,147349.568476017,5979.63516677419,184960.337544345,4,Búzios/Búzios_Eco/Tambuatá,2021-12-01,NA
FPSO CIDADE DE ILHA BELA,121568.373569146,5915.44935354839,158775.426067588,9,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-12-01,NA
PETROBRAS 77,142371.812827814,5835.14786064516,179073.784193178,5,Búzios/Búzios_Eco/Tambuatá,2021-12-01,NA
FPSO CIDADE DE SAQUAREMA,121605.396451958,5626.38320967742,156994.277828019,7,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
PETROBRAS 75 (P-75),141103.805512262,5601.98040419355,176339.197878362,5,Búzios/Búzios_Eco/Tambuatá,2021-12-01,NA
PETROBRAS 70,161174.548137629,5583.43291709677,196293.280333913,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-12-01,NA
PETROBRAS 67 (P-67),141385.41030676,5516.24834129032,176081.564286291,7,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
PETROBRAS 69,100325.202040998,5445.68575322581,134577.530748496,7,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
FPSO CIDADE DE MARICÁ,134962.439039537,5303.29755870968,168319.173057285,7,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
PLATAFORMA DE MEXILHÃO,3205.16340877097,4773.87089935484,33231.904330242,6,Mexilhão,2021-12-01,NA
FPSO CIDADE DE PARATY,101055.061556079,4663.51161645161,130387.663556353,6,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
FPSO CIDADE DE CARAGUATATUBA,59198.8436101355,2671.03555193548,75999.1497350548,4,Lapa,2021-12-01,NA
PLATAFORMA DE MANATI 1,213.879510828387,2503.93848290323,15963.1768199779,6,Manati,2021-12-01,NA
PETROBRAS 62,23151.7538058355,2433.59369709677,38458.5957777717,12,Roncador,2021-12-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,12.7368551051452,2107.50522548387,13268.5442974059,25,Gavião Branco/Gavião Caboclo,2021-12-01,NA
PETROBRAS 58,70007.7644148194,2066.38075193548,83004.9067321507,13,Baleia Anã/Jubarte,2021-12-01,NA
FPSO CIDADE DE SÃO PAULO,37460.660583708,2025.3763683871,50199.8931193529,7,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-12-01,NA
FPSO PIONEIRO DE LIBRA,29316.4857134432,1918.56155677419,41383.8733788571,1,Mero,2021-12-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1640.29378196871,1722.08915129032,12471.9073466461,8,Leste Do Urucu,2021-12-01,NA
PETROBRAS 66 (P-66),46302.3934976256,1620.55952,56495.4049721169,4,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
PETROBRAS 68,63104.8215812522,1587.01147677419,73086.8222379813,5,Berbigão/Sururu,2021-12-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,6.33075869207097,1324.67576516129,8338.2896331612,21,Gavião Azul/Gavião Real/Gavião Vermelho,2021-12-01,NA
FPSO CIDADE DE ANGRA DOS REIS,32372.943689279102,1318.08281741936,40663.4341751116,5,Anc_Tupi/Sul De Tupi/Tupi,2021-12-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1565.29469622,1316.29894322581,9844.56495231111,8,Leste Do Urucu,2021-12-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1437.95384062226,1252.12769032258,9313.59910849013,4,Leste Do Urucu,2021-12-01,NA
FPSO CARIOCA (MV-30),43885.7350010766,1242.91078580645,51703.4076907499,3,Sépia/Sépia Leste,2021-12-01,NA
FPSO CIDADE DE ITAGUAÍ,130815.986241023,7383.429636,177256.355799832,7,Tupi,2021-11-01,NA
POLO ARARA,6583.889437569,7328.15856833333,52676.6144822577,34,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-11-01,NA
PETROBRAS 77,161290.261824276,6580.610421,202681.051056386,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01,NA
FPSO CIDADE DE MANGARATIBA,114864.225081947,6557.65795066667,156110.647636629,8,Tupi,2021-11-01,NA
PETROBRAS 74,148521.981134924,6074.299634,186728.171715853,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01,NA
PETROBRAS 75,147289.811586869,6008.35564166667,185081.226985381,5,Búzios/Búzios_Eco/Tambuatá,2021-11-01,NA
FPSO CIDADE DE SAQUAREMA,124217.056651714,5687.575459,159990.825649487,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
PETROBRAS 70,158134.116623508,5446.136753,192389.282033895,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2021-11-01,NA
PETROBRAS 76,135139.645179378,5402.95581533333,169123.21069622,4,Búzios/Búzios_Eco/Tambuatá,2021-11-01,NA
PETROBRAS 67,138542.6231069,5321.243758,172012.235308406,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
FPSO CIDADE DE MARICÁ,135344.028368411,5253.23801533333,168385.897369635,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
PLATAFORMA DE MEXILHÃO,3365.13221413334,4954.71193133333,34529.328866953,6,Mexilhão,2021-11-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,37.4238369627533,4725.43092366666,29759.4865149506,25,Gavião Branco/Gavião Caboclo,2021-11-01,NA
FPSO CIDADE DE SÃO PAULO,85136.974715433,4724.68268566667,114854.331118566,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-11-01,NA
PETROBRAS 69,88714.9077126176,4617.02981966667,117755.148042655,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
FPSO CIDADE DE ILHA BELA,91084.0174436862,4584.45723233334,119919.382388189,9,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2021-11-01,NA
FPSO CIDADE DE PARATY,98322.7560960588,4437.64834166667,126234.721011957,7,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
PLATAFORMA DE MANATI 1,263.796099022333,3424.46258233333,21803.0150940084,6,Manati,2021-11-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,17.6767394549733,2807.519935,17676.4437018173,24,Gavião Azul/Gavião Real/Gavião Vermelho,2021-11-01,NA
PETROBRAS 58,69524.81738284,2181.13348266667,83243.7325734516,12,Baleia Anã/Jubarte,2021-11-01,NA
PETROBRAS 68,88412.6260567046,2180.49896566667,102127.550255944,5,Berbigão/Sururu,2021-11-01,NA
PETROBRAS 66 (P-66),51175.013482008,2147.974012,64685.3619024257,5,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
PETROBRAS 62,23921.5898930933,2021.47615633333,36636.2908359603,12,Roncador,2021-11-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1677.01639804333,1813.34669633333,13082.6225821077,8,Leste Do Urucu,2021-11-01,NA
FPSO CIDADE DE ANGRA DOS REIS,46329.5429053352,1812.226548,57728.1035692111,5,Anc_Tupi/Sul De Tupi/Tupi,2021-11-01,NA
FPSO CIDADE DE CARAGUATATUBA,34751.7872989333,1481.82094233333,44072.159480231,4,Lapa,2021-11-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1473.79389490533,1264.12244566667,9424.88389488399,4,Leste Do Urucu,2021-11-01,NA
PETROBRAS 53,62220.44216041,1262.011943,70158.2574996108,5,Marlim Leste,2021-11-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1491.98234814267,1213.00408966667,9121.54760136897,9,Leste Do Urucu,2021-11-01,NA
FPSO CARIOCA,41941.0086295649,1179.771284,49361.5458493809,2,Sépia/Sépia Leste,2021-11-01,NA
FPSO CIDADE DE ITAGUAÍ,122611.657965196,6556.29245964285,163849.491840783,6,Tupi,2021-02-01,NA
POLO ARARA,7091.921165155,6531.30220607143,48172.5710939251,33,Arara Azul/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2021-02-01,NA
FPSO CIDADE DE MANGARATIBA,112662.739765893,6441.43652821429,153178.15165542,8,Tupi,2021-02-01,NA
PETROBRAS 69,136051.587987504,6150.82803392857,174739.127663588,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PETROBRAS 75,151251.946136121,5847.05660464285,188028.82123857,4,Búzios/Tambuatá,2021-02-01,NA
PETROBRAS 77,149786.519245993,5758.92671071428,186009.074060311,4,Búzios/Tambuatá,2021-02-01,NA
FPSO CIDADE DE ILHA BELA,125924.702574954,5727.48057107143,161949.467145685,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-02-01,NA
FPSO CIDADE DE SAQUAREMA,127139.56741683,5518.63767714286,161850.7498649,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PLATAFORMA DE MEXILHÃO,3456.72682347143,5358.52721071429,37160.8448586943,7,Mexilhão,2021-02-01,NA
PETROBRAS 67,117583.713079836,5183.19932392857,150185.052019475,6,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PETROBRAS 76,126251.782170104,5168.35678214286,158759.764341994,4,Búzios/Tambuatá,2021-02-01,NA
PETROBRAS 66,99020.0622985645,5107.20638285714,131143.420077523,7,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PETROBRAS 74,114683.094128714,4743.13266785714,144516.497414329,5,Búzios/Tambuatá,2021-02-01,NA
FPSO CIDADE DE SÃO PAULO,76188.1834758108,4214.77528428571,102698.319206664,7,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2021-02-01,NA
FPSO CIDADE DE MARICÁ,105779.39546413,3742.40458392857,129318.40924017,6,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,32.3581252247429,3682.60822214286,23195.2641469411,27,Gavião Branco/Gavião Caboclo,2021-02-01,NA
FPSO CIDADE DE PARATY,86793.5816188554,3613.50008392857,109521.81058175,5,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PETROBRAS 58,90040.8360762214,2950.8170525,108600.914681206,12,Baleia Anã/Jubarte,2021-02-01,NA
PLATAFORMA DE MANATI 1,236.372856888571,2871.94046,18300.3326816012,6,Manati,2021-02-01,NA
PETROBRAS 62,27450.5728557857,2615.87145285714,43903.9072786811,12,Roncador,2021-02-01,NA
FPSO PIONEIRO DE LIBRA,35585.9274877342,2298.12494,50040.6967165956,1,Mero,2021-02-01,NA
FPSO CIDADE DE ANGRA DOS REIS,50170.9338571633,2097.69550642857,63365.0400304528,4,Anc_Tupi/Sul de Tupi/Tupi,2021-02-01,NA
PETROBRAS 70,54135.1341875833,1788.49720285714,65384.4417790862,2,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2021-02-01,NA
PETROBRAS 68,80051.9302705685,1668.01138285714,90543.4049465772,4,Berbigão/Sururu,2021-02-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1739.18547911286,1630.10859821428,11992.258841247,7,Leste do Urucu,2021-02-01,NA
ESTAÇÃO COLETORA DE GAVIÃO REAL,51.2967678447107,1599.48791714286,10111.771863969,13,Gavião Azul/Gavião Real/Gavião Vermelho,2021-02-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1938.67264380071,1580.29524428571,11878.4294742614,8,Leste do Urucu,2021-02-01,NA
FPSO CIDADE DE CARAGUATATUBA,39016.0733113214,1540.90056214286,48708.0450760932,4,Lapa,2021-02-01,NA
PETROBRAS 40,53181.1342689714,1121.13781285714,60232.8780956584,14,Marlim/Marlim Sul,2021-02-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,95191.6127561584,1111.63194392857,102183.5664734,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2021-02-01,NA
POLO ARARA,6736.02086237867,7756.24918,55521.3545172345,33,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2022-04-01,NA
FPSO CIDADE DE ITAGUAÍ,130758.975403183,7414.842033,177396.922970767,8,Tupi,2022-04-01,NA
FPSO CIDADE DE MANGARATIBA,112969.218545527,6478.438234,153717.364134122,8,Tupi,2022-04-01,NA
PETROBRAS 77,158095.735045563,6432.411367,198554.380385834,5,Búzios/Búzios_Eco/Tambuatá,2022-04-01,NA
PETROBRAS 74 (P-74),153513.407186643,6185.944567,192421.823183606,5,Búzios/Búzios_Eco/Tambuatá,2022-04-01,NA
PETROBRAS 76,136469.665823657,5658.384167,172059.827141095,4,Búzios/Búzios_Eco/Tambuatá,2022-04-01,NA
FPSO CIDADE DE SAQUAREMA,119154.43110183,5578.551033,154242.457174704,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
PETROBRAS 70,157148.774797617,5483.19896666667,191637.054490146,4,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2022-04-01,NA
FPSO CIDADE DE ILHA BELA,115154.761888863,5334.19876533333,148705.858625045,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-04-01,NA
PLATAFORMA DE MEXILHÃO,3458.76442239667,5274.9763,36637.3631038997,7,Mexilhão,2022-04-01,NA
PETROBRAS 75 (P-75),136967.7202353,5191.840266,169623.409058789,4,Búzios/Búzios_Eco/Tambuatá,2022-04-01,NA
PETROBRAS 69,97909.2434210767,4996.48226733333,129336.167550973,7,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
PETROBRAS 66 (P-66),101624.086974607,4974.32146533334,132911.623870475,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
FPSO CIDADE DE SÃO PAULO,88850.45359195,4871.611866,119491.966622835,6,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,2022-04-01,NA
FPSO CIDADE DE MARICÁ,129607.426505367,4780.62593333333,159676.655307106,8,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
FPSO CIDADE DE PARATY,93109.0218675333,4215.34369866666,119622.732816844,6,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
PETROBRAS 67 (P-67),102136.616335663,4163.76546666667,128325.910005558,7,Anc_Tupi/Sul De Tupi/Tupi,2022-04-01,NA
FPSO CARIOCA (MV-30),127263.256250433,3717.77943333333,150647.382508008,4,Sépia/Sépia Leste,2022-04-01,NA
PETROBRAS 68,131242.68485482,3382.54896633333,152518.275168753,7,Berbigão/Sul De Berbigão/Sururu,2022-04-01,NA
FPSO PIONEIRO DE LIBRA,46110.93675974,3056.83883333333,65337.8722220283,1,Anc_Mero/Mero,2022-04-01,NA
PLATAFORMA DE MANATI 1,266.375550103333,3000.1818,19136.9490375613,6,Manati,2022-04-01,NA
PETROBRAS 62,32191.39224563,2370.80136666667,47103.2823897037,11,Roncador,2022-04-01,NA
FPSO CIDADE DE CARAGUATATUBA,57248.1984965733,2273.59833133333,71548.700016977,4,Lapa,2022-04-01,NA
PETROBRAS 58,64864.9571326533,1870.991267,76633.1367137426,12,Baleia Anã/Jubarte,2022-04-01,NA
PONTO DE COLETA ÁREA DO LUC-12,1885.533453579,1750.82624566667,12897.8978818357,10,Leste Do Urucu,2022-04-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1465.99117594,1633.93806,11743.1511251086,8,Leste Do Urucu,2022-04-01,NA
PETROBRAS 53,57551.2289627533,1173.315967,64931.1634651496,8,Marlim Leste,2022-04-01,NA
PETROBRAS 52,51660.9476939533,1017.02216633333,58057.8238859784,15,Roncador,2022-04-01,NA
PETROBRAS 40,43443.38431007,1005.977567,49770.7920707623,14,Marlim/Marlim Sul,2022-04-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,90203.8131381234,1001.84433366667,96505.2236464633,11,Espadarte/Tartaruga Verde/Tartaruga Verde Sudoeste,2022-04-01,NA
FPSO CIDADE DE ITAGUAÍ,130503.516267607,7893.94343178571,180154.920604287,7,Tupi,2022-02-01,NA
POLO ARARA,6102.04614260785,6856.91517642857,49230.7397884601,33,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2022-02-01,NA
PETROBRAS 77,165598.442782308,6807.30013714285,208415.067257911,5,Búzios/Búzios_Eco/Tambuatá,2022-02-01,NA
FPSO CIDADE DE MANGARATIBA,113337.319642032,6429.417205,153777.132272213,8,Tupi,2022-02-01,NA
PETROBRAS 76,145188.941673091,6075.39448535714,183402.018661035,4,Búzios/Búzios_Eco/Tambuatá,2022-02-01,NA
